Ensembl.Gene.ID	Mouse_E7.5	Mouse_E8.5	Mouse_E9.5	Mouse_E10.5	Mouse_E12.5	Mouse_E14.5	Mouse_E16.5	Mouse_E18.5
ENSMUSG00000052609	6.82	5.66	3.43333333333333	3.22	2.83	2.88	2.885	3.345
ENSMUSG00000052613	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052616	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052629	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052631	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052632	4.19666666666667	4.785	4.84333333333333	4.905	4.545	4.14	3.78	3.65
ENSMUSG00000052642	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052656	8.28166666666667	8.12166666666667	8.08666666666667	8.18166666666667	8.2875	8.3625	8.5725	8.905
ENSMUSG00000052658	2.23666666666667	2.25333333333333	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052675	3.17	3.17	2.98333333333333	3.01333333333333	3.17	3.17	3.17	3.17
ENSMUSG00000052676	2.23	2.23	3.33333333333333	3.56666666666667	4.455	4.105	4.17	3.875
ENSMUSG00000052681	11.1488888888889	10.9988888888889	11.0722222222222	11.0988888888889	11.0466666666666	11.1016666666667	11.08	10.9783333333333
ENSMUSG00000052684	6.57666666666667	8.075	9.035	9.76	9.6375	9.245	8.8925	9.3125
ENSMUSG00000052688	2.32	2.32	2.33222222222222	2.32	2.32	2.32	3.05333333333333	3.605
ENSMUSG00000052698	5.32444444444444	5.59777777777778	5.35333333333333	5.29	4.93	4.995	4.93666666666666	5.075
ENSMUSG00000052707	8.85619047619047	9.02047619047619	9.11190476190476	9.19619047619048	9.44071428571429	9.12357142857143	8.59214285714285	8.33285714285715
ENSMUSG00000052712	6.54133333333333	6.492	6.57933333333333	6.45	6.602	6.825	7.086	7.478
ENSMUSG00000052713	6.60333333333333	7.99	8.10333333333333	8.11333333333333	7.6525	7.235	6.8375	6.6325
ENSMUSG00000052726	2.23	2.23	2.23	2.23	2.23	2.255	2.23	2.245
ENSMUSG00000052727	4.315	5.85	6.74166666666667	7.64583333333333	7.705	7.4825	6.8325	6.655
ENSMUSG00000052736	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052738	11.1333333333333	10.9733333333333	11.0866666666667	11.0266666666667	10.495	10.625	10.92	11.85
ENSMUSG00000052748	8.74833333333333	7.54333333333333	7.13166666666667	7.2	7.0425	6.8275	6.6975	6.365
ENSMUSG00000052751	5.15583333333333	5.60416666666667	5.81916666666667	5.76	4.7675	4.47125	4.38875	4.5725
ENSMUSG00000052752	9.17333333333333	9.2	9.1	8.93	8.615	8.56	8.24	7.995
ENSMUSG00000052759	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052760	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052783	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052794	5.36666666666667	5.42333333333333	5.37333333333333	5.32	5.415	5.175	4.97	4.71
ENSMUSG00000052798	10.71	10.5766666666667	10.35	10.0966666666667	9.085	9.01	8.81	7.975
ENSMUSG00000052819	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052821	2.23	2.23333333333333	2.23333333333333	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052833	11.375	11.3033333333333	11.1716666666667	11.03	10.2875	10.09	9.755	9.1025
ENSMUSG00000052837	3.80333333333333	2.23	2.23	2.23	2.23	2.23	2.39	2.23
ENSMUSG00000052852	6.69333333333333	8.76	8.82666666666667	9.44666666666667	10.665	10.8	10.605	10.47
ENSMUSG00000052854	8.75333333333333	5.52333333333333	5.33666666666667	6.28	8.76333333333333	10.2283333333333	10.445	10.2566666666666
ENSMUSG00000052861	2.23	2.23	2.23	2.23	2.23	2.23	2.33	2.23
ENSMUSG00000052889	4.88666666666667	5.18833333333333	4.89333333333333	5.25666666666667	5.365	6.555	7.04	7.2525
ENSMUSG00000052906	9.10333333333333	7.88666666666667	7.66	7.38333333333333	6.56	6.915	6.92	6.585
ENSMUSG00000052911	5.06	4.89	5.29	5.55	7.015	7.13	7.025	7.63
ENSMUSG00000052914	2.345	2.53666666666667	2.80333333333333	2.83166666666667	3.0475	2.905	3.3675	4.4775
ENSMUSG00000052915	7.78416666666667	8.3725	8.38333333333333	8.405	8.46375	8.12375	7.79875	7.60625
ENSMUSG00000052917	4.83777777777778	5.71333333333333	6.80444444444444	7.02111111111111	7.73	7.37166666666667	7.18666666666666	6.37833333333333
ENSMUSG00000052920	2.23	4.90666666666667	4.50666666666667	4.69	6.21	6.38	5.515	5.115
ENSMUSG00000052921	3.24666666666667	3.36333333333333	3.36444444444444	3.33	3.24166666666666	3.24333333333333	3.24333333333333	3.405
ENSMUSG00000052926	9.91	10.0066666666667	9.96333333333333	9.88333333333333	8.615	8.78	8.58	8.105
ENSMUSG00000052928	4.28333333333333	5.31	5.20666666666667	6.02666666666667	6.035	5.265	4.785	4.57
ENSMUSG00000052934	5.935	5.66666666666667	5.26	5.16833333333333	4.2375	4.36	4.24	4.6225
ENSMUSG00000052942	3.15	3.42	3.21666666666667	3.15	3.165	3.15	3.15	3.15
ENSMUSG00000052949	3.17666666666667	3.37066666666667	3.68333333333333	4.15333333333333	4.209	3.889	3.77	3.766
ENSMUSG00000052951	4.09333333333333	4.82666666666667	5.47666666666667	6.99333333333333	7.22	6.035	5.025	4.225
ENSMUSG00000052955	2.23	2.23	2.32	2.26333333333333	2.23	2.23	2.23	2.23
ENSMUSG00000052957	8.11666666666667	10.0333333333333	11.015	11.4066666666667	11.295	10.8825	10.56	10.1525
ENSMUSG00000052962	5.02416666666667	4.9075	5.1375	5.18583333333333	4.8525	4.6625	4.68125	4.66625
ENSMUSG00000052974	2.23	2.23	2.23	2.23	2.23	2.235	6.295	8.725
ENSMUSG00000052979	2.37333333333333	2.39333333333333	2.35	2.38666666666667	3.765	2.85	3.115	2.4
ENSMUSG00000052981	3.21333333333333	3.13666666666667	3.27666666666667	4.46	7.875	7.4	6.82	6.11
ENSMUSG00000052997	12.2775	12.1466666666667	12.1841666666667	12.0683333333333	12.2425	12.12625	11.91625	11.55875
ENSMUSG00000053004	2.235	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053007	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053012	7.27666666666667	7.75	7.78	7.61666666666667	7.285	7.53	8.11	8.245
ENSMUSG00000053024	2.57666666666667	2.4675	2.59916666666667	3.93166666666667	3.60875	3.13125	2.855	2.57875
ENSMUSG00000053025	2.23	2.24166666666667	2.23	2.23	2.23	2.23	2.23	2.37
ENSMUSG00000053030	2.36	2.35666666666667	2.25	2.25	2.24	2.24	2.25	2.305
ENSMUSG00000053044	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.835
ENSMUSG00000053046	2.36222222222222	2.57555555555556	2.86888888888889	3.17555555555556	3.41333333333333	3.15	2.905	2.68833333333334
ENSMUSG00000053054	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.295
ENSMUSG00000053062	2.604	2.65333333333333	3.67	4.62133333333333	3.796	3.339	3.479	3.922
ENSMUSG00000053070	5.45333333333333	5.72333333333333	5.89333333333333	5.77666666666667	5.535	5.43	5.46	5.245
ENSMUSG00000053080	6.99333333333333	8.34333333333333	8.70666666666667	9.20666666666667	9.68	9.1	8.485	7.625
ENSMUSG00000053091	3.47666666666667	3.60833333333333	3.55333333333333	3.26833333333333	3.29	3.2575	3.135	2.955
ENSMUSG00000053093	3.35	9.56	9.53666666666667	9.59333333333333	9.095	9.685	9.535	10.72
ENSMUSG00000053094	9.38666666666666	9.19111111111111	8.74555555555556	8.24555555555555	7.05833333333334	7.14666666666666	6.88833333333333	6.24333333333333
ENSMUSG00000053110	10.1233333333333	10.4266666666667	10.4566666666667	10.295	9.4325	8.8475	8.4025	8.5325
ENSMUSG00000053111	2.68833333333333	2.59	2.60083333333333	2.52	2.59	2.59	2.59	2.605
ENSMUSG00000053113	5.64666666666667	5.30333333333333	5.73111111111111	5.52777777777778	5.635	5.37666666666667	5.685	5.91666666666666
ENSMUSG00000053117	2.23	2.23	2.23	2.69666666666667	3.05	2.23	2.23	2.23
ENSMUSG00000053119	6.06	5.87111111111111	5.85333333333333	5.69666666666666	5.42833333333333	5.54	5.69166666666666	5.70333333333333
ENSMUSG00000053121	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053129	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053134	3.33333333333333	3.405	3.42666666666667	3.46166666666667	3.3075	2.84	2.73	2.6375
ENSMUSG00000053137	2.61833333333333	4.375	4.32333333333333	3.85	3.4125	2.955	2.465	2.3275
ENSMUSG00000053141	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053153	2.23333333333333	2.27333333333333	2.34	2.23	2.23	2.23	2.23	2.23
