Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSMUSG00000001497	400	195	10
ENSMUSG00000001504	400	24	50
ENSMUSG00000001506	400	132	10
ENSMUSG00000001507	400	125	10
ENSMUSG00000001508	400	27	40
ENSMUSG00000001510	400	47	30
ENSMUSG00000001517	400	102	10
ENSMUSG00000001520	400	4	80
ENSMUSG00000001521	400	20	50
ENSMUSG00000001524	400	83	20
ENSMUSG00000001542	400	8	70
ENSMUSG00000001552	400	81	20
ENSMUSG00000001555	400	3	80
ENSMUSG00000001558	400	1	100
ENSMUSG00000001566	400	27	40
ENSMUSG00000001569	400	6	80
ENSMUSG00000001576	400	5	80
ENSMUSG00000001583	400	6	80
ENSMUSG00000001588	400	8	70
ENSMUSG00000001604	400	2	90
ENSMUSG00000001622	400	17	50
ENSMUSG00000001627	400	39	30
ENSMUSG00000001630	400	3	80
ENSMUSG00000001632	400	6	80
ENSMUSG00000001642	400	61	20
ENSMUSG00000001655	400	19	50
ENSMUSG00000001656	400	14	60
ENSMUSG00000001657	400	36	40
ENSMUSG00000001661	400	8	70
ENSMUSG00000001663	400	93	10
ENSMUSG00000001665	400	8	70
ENSMUSG00000001666	400	48	30
ENSMUSG00000001670	400	57	20
ENSMUSG00000001672	400	2	90
ENSMUSG00000001674	400	54	20
ENSMUSG00000001687	400	3	80
ENSMUSG00000001707	400	10	70
ENSMUSG00000001729	400	378	10
ENSMUSG00000001739	400	29	40
ENSMUSG00000001741	400	63	20
ENSMUSG00000001750	400	35	40
ENSMUSG00000001751	400	16	60
ENSMUSG00000001755	400	12	60
ENSMUSG00000001761	400	71	20
ENSMUSG00000001763	400	1	100
ENSMUSG00000001767	400	22	50
ENSMUSG00000001768	400	8	70
ENSMUSG00000001773	400	7	70
ENSMUSG00000001774	400	20	50
ENSMUSG00000001783	400	21	50
ENSMUSG00000001785	400	80	20
ENSMUSG00000001786	400	28	40
ENSMUSG00000001794	400	22	50
ENSMUSG00000001804	400	9	70
ENSMUSG00000001815	400	8	70
ENSMUSG00000001819	400	55	20
ENSMUSG00000001823	400	156	10
ENSMUSG00000001827	400	37	30
ENSMUSG00000001829	400	11	60
ENSMUSG00000001833	400	70	20
ENSMUSG00000001844	400	1	100
ENSMUSG00000001847	400	349	10
ENSMUSG00000001855	400	92	10
ENSMUSG00000001865	400	23	50
ENSMUSG00000001870	400	12	60
ENSMUSG00000001891	400	42	30
ENSMUSG00000001909	400	66	20
ENSMUSG00000001910	400	34	40
ENSMUSG00000001911	400	28	40
ENSMUSG00000001918	400	21	50
ENSMUSG00000001924	400	49	30
ENSMUSG00000001930	400	115	10
ENSMUSG00000001942	400	10	70
ENSMUSG00000001943	400	1	100
ENSMUSG00000001946	400	40	30
ENSMUSG00000001948	400	34	40
ENSMUSG00000001964	400	51	30
ENSMUSG00000001983	400	51	30
ENSMUSG00000001985	400	2	90
ENSMUSG00000001986	400	28	40
ENSMUSG00000001988	400	25	40
ENSMUSG00000001998	400	6	80
ENSMUSG00000001999	400	15	60
ENSMUSG00000002006	400	4	80
ENSMUSG00000002007	400	1	100
ENSMUSG00000002010	400	38	30
ENSMUSG00000002012	400	7	70
ENSMUSG00000002014	400	69	20
ENSMUSG00000002015	400	34	40
ENSMUSG00000002020	400	10	70
ENSMUSG00000002028	400	71	20
ENSMUSG00000002031	400	4	80
ENSMUSG00000002032	400	9	70
ENSMUSG00000002033	400	75	20
ENSMUSG00000002043	400	2	90
ENSMUSG00000002052	400	25	40
ENSMUSG00000002055	400	50	30
ENSMUSG00000002057	400	50	30
ENSMUSG00000002058	400	13	60
ENSMUSG00000002059	400	9	70
ENSMUSG00000002064	400	17	50
ENSMUSG00000002068	400	78	20
ENSMUSG00000002076	400	3	80
ENSMUSG00000002083	400	2	90
ENSMUSG00000002100	400	42	30
ENSMUSG00000002102	400	106	10
ENSMUSG00000002103	400	31	40
ENSMUSG00000002104	400	32	40
ENSMUSG00000002105	400	5	80
ENSMUSG00000002107	400	32	40
ENSMUSG00000002108	400	95	10
ENSMUSG00000002109	400	55	20
ENSMUSG00000002111	400	222	10
ENSMUSG00000002129	400	93	10
ENSMUSG00000002147	400	118	10
ENSMUSG00000002190	400	35	40
ENSMUSG00000002204	400	10	70
ENSMUSG00000002205	400	4	80
ENSMUSG00000002210	400	7	70
ENSMUSG00000002221	400	35	40
ENSMUSG00000002227	400	17	50
ENSMUSG00000002228	400	2	90
ENSMUSG00000002233	400	231	10
ENSMUSG00000002249	400	8	70
ENSMUSG00000002250	400	119	10
ENSMUSG00000002257	400	25	40
ENSMUSG00000002265	400	65	20
ENSMUSG00000002266	400	10	70
ENSMUSG00000002274	400	11	60
ENSMUSG00000002279	400	7	70
ENSMUSG00000002280	400	9	70
ENSMUSG00000002289	400	45	30
ENSMUSG00000002297	400	36	40
ENSMUSG00000002307	400	33	40
ENSMUSG00000002308	400	69	20
ENSMUSG00000002319	400	19	50
ENSMUSG00000002320	400	8	70
ENSMUSG00000002324	400	28	40
ENSMUSG00000002325	400	56	20
ENSMUSG00000002326	400	51	30
ENSMUSG00000002329	400	5	80
ENSMUSG00000002332	400	1	100
ENSMUSG00000002341	400	22	50
ENSMUSG00000002346	400	1	100
ENSMUSG00000002365	400	18	50
ENSMUSG00000002372	400	6	80
ENSMUSG00000002379	400	71	20
ENSMUSG00000002379	400	1	100
ENSMUSG00000002384	400	32	40
ENSMUSG00000002393	400	60	20
ENSMUSG00000002395	400	32	40
ENSMUSG00000002409	400	19	50
ENSMUSG00000002413	400	83	20
ENSMUSG00000002416	400	58	20
ENSMUSG00000002428	400	20	50
ENSMUSG00000002455	400	108	10
ENSMUSG00000002458	400	46	30
ENSMUSG00000002459	400	26	40
ENSMUSG00000002477	400	216	10
ENSMUSG00000002489	400	64	20
ENSMUSG00000002496	400	109	10
ENSMUSG00000002500	400	71	20
ENSMUSG00000002504	400	52	30
ENSMUSG00000002524	400	11	60
ENSMUSG00000002546	400	17	50
ENSMUSG00000002550	400	16	60
ENSMUSG00000002565	400	27	40
ENSMUSG00000002578	400	5	80
ENSMUSG00000002580	400	33	40
ENSMUSG00000002588	400	20	50
ENSMUSG00000002602	400	28	40
ENSMUSG00000002603	400	120	10
ENSMUSG00000002625	400	8	70
ENSMUSG00000002633	400	241	10
ENSMUSG00000002658	400	149	10
ENSMUSG00000002660	400	143	10
ENSMUSG00000002661	400	5	80
ENSMUSG00000002664	400	17	50
ENSMUSG00000002668	400	4	80
ENSMUSG00000002679	400	34	40
ENSMUSG00000002688	400	54	20
ENSMUSG00000002699	400	83	20
ENSMUSG00000002718	400	91	10
ENSMUSG00000002728	400	1	100
ENSMUSG00000002731	400	10	70
ENSMUSG00000002732	400	1	100
ENSMUSG00000002733	400	4	80
ENSMUSG00000002741	400	25	40
ENSMUSG00000002748	400	49	30
ENSMUSG00000002763	400	27	40
ENSMUSG00000002767	400	63	20
ENSMUSG00000002768	400	11	60
ENSMUSG00000002769	400	42	30
ENSMUSG00000002771	400	40	30
ENSMUSG00000002778	400	1	100
ENSMUSG00000002781	400	3	80
ENSMUSG00000002797	400	18	50
ENSMUSG00000002799	400	66	20
ENSMUSG00000002804	400	5	80
ENSMUSG00000002808	400	9	70
ENSMUSG00000002812	400	17	50
ENSMUSG00000002814	400	42	30
ENSMUSG00000002825	400	77	20
ENSMUSG00000002831	400	23	50
ENSMUSG00000002833	400	2	90
ENSMUSG00000002835	400	18	50
ENSMUSG00000002844	400	2	90
ENSMUSG00000002847	400	6	80
ENSMUSG00000002870	400	171	10
ENSMUSG00000002871	400	7	70
ENSMUSG00000002881	400	13	60
ENSMUSG00000002885	400	12	60
ENSMUSG00000002897	400	39	30
ENSMUSG00000002900	400	60	20
ENSMUSG00000002908	400	2	90
ENSMUSG00000002930	400	19	50
ENSMUSG00000002944	400	27	40
ENSMUSG00000002948	400	36	40
ENSMUSG00000002949	400	33	40
ENSMUSG00000002957	400	45	30
ENSMUSG00000002963	400	6	80
ENSMUSG00000002968	400	26	40
ENSMUSG00000002980	400	13	60
ENSMUSG00000002981	400	6	80
ENSMUSG00000002983	400	62	20
ENSMUSG00000002984	400	16	60
ENSMUSG00000002985	400	129	10
ENSMUSG00000002992	400	35	40
ENSMUSG00000002996	400	19	50
ENSMUSG00000002997	400	82	20
ENSMUSG00000003031	400	144	10
ENSMUSG00000003032	400	63	20
ENSMUSG00000003033	400	17	50
ENSMUSG00000003037	400	39	30
ENSMUSG00000003051	400	22	50
ENSMUSG00000003053	400	126	10
ENSMUSG00000003062	400	4	80
ENSMUSG00000003068	400	67	20
ENSMUSG00000003070	400	27	40
ENSMUSG00000003072	400	91	10
ENSMUSG00000003099	400	21	50
ENSMUSG00000003123	400	73	20
ENSMUSG00000003131	400	38	30
ENSMUSG00000003134	400	39	30
ENSMUSG00000003153	400	19	50
ENSMUSG00000003154	400	31	40
ENSMUSG00000003161	400	21	50
ENSMUSG00000003166	400	30	40
ENSMUSG00000003184	400	98	10
ENSMUSG00000003190	400	6	80
ENSMUSG00000003199	400	1	100
ENSMUSG00000003200	400	47	30
ENSMUSG00000003206	400	46	30
ENSMUSG00000003208	400	2	90
ENSMUSG00000003226	400	161	10
ENSMUSG00000003227	400	46	30
ENSMUSG00000003228	400	48	30
ENSMUSG00000003233	400	70	20
ENSMUSG00000003235	400	16	60
ENSMUSG00000003269	400	13	60
ENSMUSG00000003271	400	42	30
ENSMUSG00000003273	400	5	80
ENSMUSG00000003279	400	16	60
ENSMUSG00000003282	400	28	40
ENSMUSG00000003283	400	44	30
ENSMUSG00000003299	400	149	10
ENSMUSG00000003308	400	36	40
ENSMUSG00000003309	400	12	60
ENSMUSG00000003316	400	16	60
ENSMUSG00000003341	400	1	100
ENSMUSG00000003344	400	3	80
ENSMUSG00000003345	400	19	50
ENSMUSG00000003352	400	28	40
ENSMUSG00000003354	400	1	100
ENSMUSG00000003355	400	19	50
ENSMUSG00000003360	400	3	80
ENSMUSG00000003363	400	7	70
ENSMUSG00000003378	400	12	60
ENSMUSG00000003379	400	122	10
ENSMUSG00000003380	400	26	40
ENSMUSG00000003382	400	26	40
ENSMUSG00000003402	400	35	40
ENSMUSG00000003410	400	13	60
ENSMUSG00000003411	400	10	70
ENSMUSG00000003418	400	1	100
ENSMUSG00000003420	400	26	40
ENSMUSG00000003421	400	2	90
ENSMUSG00000003423	400	16	60
ENSMUSG00000003429	400	127	10
ENSMUSG00000003435	400	74	20
ENSMUSG00000003436	400	40	30
ENSMUSG00000003437	400	24	50
ENSMUSG00000003438	400	7	70
ENSMUSG00000003444	400	21	50
ENSMUSG00000003452	400	10	70
ENSMUSG00000003458	400	69	20
ENSMUSG00000003464	400	32	40
ENSMUSG00000003469	400	10	70
ENSMUSG00000003476	400	16	60
ENSMUSG00000003477	400	15	60
ENSMUSG00000003484	400	71	20
ENSMUSG00000003500	400	75	20
ENSMUSG00000003518	400	32	40
ENSMUSG00000003526	400	60	20
ENSMUSG00000003527	400	29	40
ENSMUSG00000003528	400	26	40
ENSMUSG00000003531	400	19	50
ENSMUSG00000003534	400	24	50
ENSMUSG00000003541	400	69	20
ENSMUSG00000003545	400	51	30
ENSMUSG00000003546	400	10	70
ENSMUSG00000003549	400	95	10
ENSMUSG00000003555	400	93	10
ENSMUSG00000003559	400	2	90
ENSMUSG00000003573	400	16	60
ENSMUSG00000003575	400	25	40
ENSMUSG00000003604	400	5	80
ENSMUSG00000003617	400	37	30
ENSMUSG00000003623	400	8	70
ENSMUSG00000003644	400	76	20
