Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSDARG00000004726	400	2	80
ENSDARG00000004748	400	99	10
ENSDARG00000004754	400	17	30
ENSDARG00000004757	400	1	90
ENSDARG00000004774	400	90	10
ENSDARG00000004782	400	47	10
ENSDARG00000004785	400	21	30
ENSDARG00000004823	400	21	30
ENSDARG00000004830	400	22	30
ENSDARG00000004836	400	16	30
ENSDARG00000004843	400	29	20
ENSDARG00000004870	400	23	30
ENSDARG00000004880	400	2	80
ENSDARG00000004889	400	2	80
ENSDARG00000004891	400	16	30
ENSDARG00000004898	400	1	90
ENSDARG00000004904	400	24	30
ENSDARG00000004906	400	48	10
ENSDARG00000004925	400	1	90
ENSDARG00000004930	400	6	60
ENSDARG00000004932	400	1	90
ENSDARG00000004937	400	16	30
ENSDARG00000004948	400	2	80
ENSDARG00000004952	400	3	70
ENSDARG00000004954	400	3	70
ENSDARG00000004956	400	61	10
ENSDARG00000004964	400	1	90
ENSDARG00000004988	400	34	20
ENSDARG00000005002	400	13	40
ENSDARG00000005026	400	1	90
ENSDARG00000005034	400	3	70
ENSDARG00000005050	400	31	20
ENSDARG00000005057	400	88	10
ENSDARG00000005078	400	3	70
ENSDARG00000005085	400	11	40
ENSDARG00000005104	400	48	10
ENSDARG00000005108	400	123	10
ENSDARG00000005112	400	57	10
ENSDARG00000005115	400	1	90
ENSDARG00000005122	400	11	40
ENSDARG00000005126	400	3	70
ENSDARG00000005128	400	9	50
ENSDARG00000005150	400	12	40
ENSDARG00000005154	400	28	20
ENSDARG00000005179	400	1	90
ENSDARG00000005186	400	1	90
ENSDARG00000005191	400	27	20
ENSDARG00000005210	400	3	70
ENSDARG00000005216	400	6	60
ENSDARG00000005218	400	45	20
ENSDARG00000005220	400	1	90
ENSDARG00000005251	400	49	10
ENSDARG00000005254	400	19	30
ENSDARG00000005274	400	28	20
ENSDARG00000005315	400	3	70
ENSDARG00000005359	400	29	20
ENSDARG00000005374	400	6	60
ENSDARG00000005392	400	7	50
ENSDARG00000005394	400	11	40
ENSDARG00000005416	400	10	40
ENSDARG00000005423	400	18	30
ENSDARG00000005425	400	21	30
ENSDARG00000005448	400	16	30
ENSDARG00000005451	400	3	70
ENSDARG00000005453	400	1	90
ENSDARG00000005454	400	41	20
ENSDARG00000005458	400	13	40
ENSDARG00000005463	400	4	60
ENSDARG00000005468	400	3	70
ENSDARG00000005500	400	3	70
ENSDARG00000005513	400	39	20
ENSDARG00000005525	400	55	10
ENSDARG00000005536	400	25	20
ENSDARG00000005541	400	27	20
ENSDARG00000005547	400	4	60
ENSDARG00000005551	400	2	80
ENSDARG00000005559	400	1	90
ENSDARG00000005560	400	1	90
ENSDARG00000005561	400	41	20
ENSDARG00000005576	400	1	90
ENSDARG00000005578	400	12	40
ENSDARG00000005606	400	6	60
ENSDARG00000005612	400	8	50
